Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee,PlayersHome,RatingHome,PotentialHome,PlayersAway,RatingAway,PotentialAway
2016,1,19/08/2016,Málaga,1-1,Osasuna,La Rosaleda,Jaime Latre,"[['Kameni', 'Rosales', 'Llorente', 'Koné', 'Ricca', 'Jony', 'Keko', 'Recio', 'Juanpi Añor', 'Camacho', 'Sandro'], ['Chori Castro', 'Charles', 'Kuzmanović', 'Weligton', 'Miguel Torres', 'Aarón', 'Pablo Fornals']]","[[80, 77, 78, 76, 75, 78, 80, 78, 76, 81, 74], [82, 78, 76, 79, 75, 62, 76]]","[[80, 78, 86, 76, 83, 81, 86, 82, 86, 84, 82], [82, 78, 76, 79, 75, 68, 82]]","[['Nauzet', 'Javier Flaño', 'Unai García', 'Fausto', 'Oier', 'David García', 'Miguel Flaño', 'Fuentes', 'De las Cuevas', 'Kodro', 'Oriol Riera'], ['Fran Mérida', 'Buñuel', 'Jaime', 'Mario', 'Tano', 'Čaušić', 'Imanol']]","[[73, 70, 72, 72, 74, 75, 75, 72, 74, 70, 73], [75, 70, 72, 70, 73, 72, 67]]","[[73, 70, 79, 74, 74, 83, 75, 74, 74, 78, 73], [77, 85, 73, 72, 75, 78, 75]]"
2016,1,19/08/2016,Deportivo de La Coruña,2-1,Eibar,Estadio Municipal de Riazor,Melero López,"[['Lux', 'Juanfran', 'Sidnei', 'Albentosa', 'Fernando Navarro', 'Guilherme', 'Fajr', 'Carles Gil', 'Mosquera', 'Bruno Gama', 'Lucas Pérez'], ['Andone', 'Luisinho', 'Borges', 'Tytoń', 'Çolak', 'Arribas', 'Laure']]","[[76, 77, 80, 77, 75, 75, 77, 77, 79, 76, 81], [76, 75, 77, 75, 78, 76, 74]]","[[76, 77, 82, 78, 75, 78, 77, 83, 79, 76, 81], [82, 75, 77, 75, 81, 78, 74]]","[['Riesgo', 'Capa', 'Ramis', 'Gálvez', 'Juncà', 'Adrián', 'Dani García', 'Inui', 'Rivera', 'Kike García', 'Bebé'], ['Pedro León', 'Rubén Peña', 'Sergi Enrich', 'Yoel', 'Jota Peleteiro', 'Mauro dos Santos', 'Luna']]","[[75, 77, 76, 75, 75, 75, 78, 76, 65, 73, 76], [77, 74, 77, 72, 74, 77, 74]]","[[75, 83, 76, 76, 81, 75, 80, 76, 79, 75, 77], [77, 77, 79, 72, 77, 78, 78]]"
2016,1,20/08/2016,Barcelona,6-2,Betis,Camp Nou,Undiano Mallenco,"[['Claudio Bravo', 'Sergi Roberto', 'Umtiti', 'Piqué', 'Jordi Alba', 'Arda Turan', 'Denis Suárez', 'Busquets', 'Rakitić', 'Messi', 'Luis Suárez'], ['Munir', 'Digne', 'Masip', 'Douglas', 'Samper', 'Aleix Vidal', 'Kaptoum']]","[[85, 79, 82, 86, 86, 84, 80, 87, 87, 93, 92], [75, 79, 70, 72, 74, 77, 68]]","[[85, 85, 87, 86, 87, 84, 87, 88, 87, 93, 92], [81, 84, 71, 75, 82, 78, 76]]","[['Adán', 'Mandi', 'Pezzella', 'Bruno', 'Durmisi', 'Cejudo', 'Martin', 'Felipe Gutiérrez', 'Petros', 'Sanabria', 'Rubén Castro'], ['Fabián', 'Musonda', 'Dani Ceballos', 'Dani Giménez', 'Joaquín', 'Álex Alegría', 'José Carlos']]","[[80, 78, 77, 79, 70, 76, 76, 75, 78, 78, 81], [71, 77, 77, 70, 78, 73, 66]]","[[80, 83, 83, 83, 79, 76, 78, 78, 80, 88, 81], [81, 88, 85, 70, 78, 80, 79]]"
2016,1,20/08/2016,Granada,1-1,Villarreal,Estadio Nuevo Los Carmenes,Estrada Fernández,"[['Ochoa', 'Foulquier', 'Tito', 'Lombán', 'Krhin', 'Toral', 'Boga', 'Javi Márquez', 'Agbo', 'Cuenca', 'Ponce'], ['Barral', 'Luís Martins', 'Oier Olazábal', 'Gastón Silva', 'Fran Rico', 'Sergi Guardiola', 'Angban']]","[[79, 71, 74, 75, 73, 71, 72, 74, 72, 74, 72], [72, 68, 70, 74, 75, 67, 70]]","[[79, 76, 74, 75, 75, 78, 82, 74, 81, 77, 83], [72, 72, 71, 80, 75, 72, 78]]","[['Asenjo', 'Rukavina', 'Mario Gaspar', 'Víctor Ruiz', 'Musacchio', 'Soriano', 'Manu Trigueros', ""N'Diaye"", 'Samu Castillejo', 'Sansone', 'Pato'], ['Mario', 'Santos Borré', 'Andrés Fernández', 'José Ángel', 'Larrea', 'Cantalapiedra', 'Rodri']]","[[82, 77, 80, 81, 83, 79, 80, 79, 80, 79, 80], [64, 75, 76, 74, 67, 68, 68]]","[[84, 77, 84, 82, 87, 82, 84, 81, 87, 82, 81], [74, 84, 76, 75, 71, 81, 81]]"
2016,1,20/08/2016,Sevilla,6-4,Espanyol,Estadio Ramón Sánchez-Pizjuán,González González,"[['Sergio Rico', 'Mariano', 'Mercado', 'Pareja', 'Sarabia', ""N'Zonzi"", 'Kiyotake', 'Franco Vázquez', 'Vitolo', 'Ben Yedder', 'Vietto'], ['Correa', 'Iborra', 'Diego González', 'Kranevitter', 'Konoplyanka', 'Ganso', 'Caro']]","[[80, 79, 76, 72, 78, 82, 79, 82, 82, 80, 79], [74, 82, 66, 77, 83, 81, 65]]","[[85, 79, 76, 72, 82, 83, 81, 82, 82, 83, 86], [82, 82, 78, 85, 83, 82, 72]]","[['Roberto', 'Javi López', 'Álvaro', 'Duarte', 'Duarte', 'Diop', 'Hernán Pérez', 'Víctor Sánchez', 'Piatti', 'Leo Baptistão', 'Gerard Moreno'], ['Javi Fuego', 'Ciani', 'Reyes', 'Pau López', 'Salva Sevilla', 'Caicedo', 'Marc Roca']]","[[80, 77, 77, 76, 76, 76, 78, 77, 78, 79, 77], [79, 73, 78, 73, 72, 78, 71]]","[[80, 77, 79, 77, 77, 76, 78, 77, 78, 84, 83], [79, 73, 78, 80, 72, 78, 83]]"
2016,1,21/08/2016,Sporting de Gijón,2-1,Athletic Club,El Molinón,Clos Gómez,"[['Cuéllar', 'Lillo', 'Amorebieta', 'Meré', 'Isma López', 'Moi Gómez', 'Nacho Cases', 'Sergio Álvarez', 'Čop', 'Burgui', 'Víctor'], ['Xavi Torres', 'Afif', 'Carlos Castro', 'Mariño', 'Babin', 'Canella', 'Carmona']]","[[78, 72, 75, 76, 73, 74, 74, 77, 75, 74, 77], [73, 69, 73, 74, 74, 70, 72]]","[[78, 73, 75, 84, 75, 80, 75, 83, 77, 82, 78], [73, 78, 80, 78, 74, 70, 72]]","[['Iraizoz', 'De Marcos', 'Bóveda', 'Laporte', 'Balenziaga', 'Raúl García', 'Susaeta', 'Beñat', 'San José', 'Williams', 'Aduriz'], ['Vesga', 'Muniain', 'Viguera', 'Herrerín', 'Eraso', 'Iturraspe', 'Etxeita']]","[[79, 81, 77, 84, 79, 81, 78, 82, 81, 80, 84], [69, 78, 70, 76, 74, 81, 79]]","[[79, 82, 78, 88, 79, 81, 78, 82, 83, 86, 84], [76, 83, 70, 76, 76, 82, 79]]"
2016,1,21/08/2016,Real Sociedad,0-3,Real Madrid,Anoeta,Martínez Munuera,"[['Rulli', 'Zaldúa', 'Iñigo Martínez', 'Mikel González', 'Yuri', 'Concha', 'Zurutuza', 'Markel Bergara', 'Illarramendi', 'Oyarzabal', 'Juanmi'], ['Carlos Vela', 'Xabi Prieto', 'Willian José', 'Toño Ramírez', 'Rubén Pardo', 'Elustondo', 'Héctor Hernández']]","[[83, 73, 81, 76, 77, 70, 78, 76, 79, 77, 75], [81, 78, 78, 68, 77, 76, 72]]","[[90, 79, 85, 76, 79, 82, 78, 76, 80, 85, 82], [81, 78, 84, 70, 83, 84, 77]]","[['Casilla', 'Carvajal', 'Varane', 'Sergio Ramos', 'Marcelo', 'Kovačić', 'Casemiro', 'Kroos', 'Morata', 'Asensio', 'Bale'], ['Isco', 'Lucas Vázquez', 'James Rodríguez', 'Nacho', 'Mariano', 'Danilo', 'Rubén Yáñez']]","[[80, 83, 84, 89, 86, 80, 82, 88, 82, 81, 90], [84, 81, 87, 78, 72, 80, 66]]","[[80, 86, 91, 89, 86, 86, 87, 90, 86, 89, 90], [88, 84, 92, 80, 81, 83, 74]]"
2016,1,21/08/2016,Atlético de Madrid,1-1,Alavés,Vicente Calderón,Iglesias Villanueva,"[['Oblak', 'Juanfran', 'Savić', 'Godín', 'Filipe Luís', 'Gabi', 'Saúl', 'Koke', 'Tiago', 'Gameiro', 'Carrasco'], ['Fernando Torres', 'Correa', 'Gaitán', 'André Moreira', 'Augusto', 'Lucas Hernández', 'Giménez']]","[[87, 83, 82, 88, 85, 82, 80, 84, 81, 83, 82], [81, 79, 85, 70, 81, 76, 83]]","[[91, 83, 86, 88, 85, 82, 88, 88, 81, 83, 88], [81, 88, 85, 80, 81, 87, 88]]","[['Pacheco', 'Kiko Femenía', 'Feddal', 'Alexis', 'Raúl Carnero', 'Krstičić', 'Manu García', 'Dani Torres', 'Edgar', 'Ibai Gómez', 'Toquero'], ['Christian Santos', 'Camarasa', 'Laguardia', 'Ortolà', 'Marcos Llorente', 'Sobrino', 'Vigaray']]","[[77, 73, 77, 76, 74, 73, 75, 77, 74, 75, 72], [73, 76, 76, 69, 74, 70, 71]]","[[84, 76, 78, 76, 76, 76, 75, 79, 77, 76, 72], [73, 84, 78, 79, 85, 77, 80]]"
2016,1,22/08/2016,Celta de Vigo,0-1,Leganés,Balaidos,Munuera Montero,"[['Sergio Álvarez', 'Hugo Mallo', 'Roncaglia', 'Sergi Gómez', 'Jonny', 'Wass', 'Marcelo Díaz', 'Orellana', 'Pione Sisto', 'Iago Aspas', 'Bongonda'], ['Señé', 'Guidetti', 'Pablo Hernández', 'David Costas', 'Naranjo', 'Planas', 'Iván Villar']]","[[77, 80, 77, 77, 77, 80, 80, 81, 74, 81, 76], [70, 76, 80, 72, 75, 75, 64]]","[[77, 85, 77, 85, 83, 81, 80, 81, 83, 81, 86], [76, 82, 80, 77, 85, 79, 75]]","[['Serantes', 'Víctor Díaz', 'Bustinza', 'Mantovani', 'Diego Rico', 'Adrián Marín', 'Timor', 'Unai López', 'Gabriel', 'Alberto', 'Guerrero'], ['Machís', 'Insua', 'Rubén Pérez', 'Brignoli', 'Szymanowski', 'Medjani', 'Sastre']]","[[76, 73, 69, 76, 75, 73, 75, 72, 76, 71, 73], [73, 76, 77, 71, 77, 75, 71]]","[[78, 73, 76, 76, 81, 83, 76, 79, 81, 74, 76], [79, 82, 78, 77, 77, 75, 71]]"
2016,1,22/08/2016,Valencia,2-4,Las Palmas,Camp de Mestalla,Bikandi Garrido,"[['Ryan', 'Montoya', 'João Cancelo', 'Abdennour', 'Rubén Vezo', 'Gayà', 'Medrán', 'Parejo', 'Enzo Pérez', 'Santi Mina', 'Alcácer'], ['Mustafi', 'Rafa Mir', 'Bakkali', 'Jaume', 'Mario Suárez', 'Rober Ibáñez', 'Carlos Soler']]","[[79, 77, 79, 80, 77, 80, 77, 82, 78, 76, 81], [83, 65, 74, 74, 79, 72, 67]]","[[84, 80, 86, 82, 83, 85, 84, 83, 78, 83, 87], [88, 77, 82, 78, 79, 78, 76]]","[['Javi Varas', 'Míchel Macedo', 'Bigas', 'David García', 'Dani Castellano', 'Roque Mesa', 'Vicente Gómez', 'Jonathan Viera', 'Livaja', 'El Zhar', 'Boateng'], ['Montoro', 'Momo', 'Araujo', 'Lizoain', 'David Simón', 'Aythami', 'Tyronne']]","[[78, 76, 78, 76, 74, 80, 78, 81, 75, 77, 79], [71, 72, 75, 73, 76, 76, 70]]","[[78, 78, 81, 76, 74, 81, 78, 81, 81, 77, 79], [71, 72, 79, 75, 78, 76, 73]]"
